lane_code,proforma_name,direction,port_code,calling_port_indicator,calling_port_seq,turn_port_info_code,pilot_in_hours,etb_day_number,etb_day_code,etb_day_time,actual_work_hours,etd_day_number,etd_day_code,etd_day_time,pilot_out_hours,link_distance,link_eca_distance,link_speed,sea_time_hours,terminal_code
EC1,8101,E,CNTAO,1,1,Y,2.0,0,SUN,0100,35.0,1,MON,1200,2.0,,,,,CNTAO01
EC1,8101,E,CNSHA,1,2,Y,2.0,3,WED,2300,48.0,5,FRI,2300,2.0,,,,,CNSHA01
EC1,8101,E,KRPUS,1,3,Y,2.0,7,SUN,1200,33.0,8,MON,2100,2.0,,,,,KRPUS01
EC1,8101,E,JPTYO,1,4,,2.0,11,THU,1200,20.0,12,FRI,0800,2.0,,,,,JPTYO01
EC1,8101,E,PAPCA,1,5,,2.0,31,WED,1000,24.0,32,THU,1000,2.0,,,,,PAPCA01
EC1,8101,W,USNYC,1,6,Y,2.0,46,THU,1000,50.0,48,SAT,1200,2.0,,,,,USNYC01
EC1,8101,W,USORF,1,7,Y,2.0,51,TUE,1000,62.0,54,FRI,0000,2.0,,,,,USORF01
EC1,8101,W,USILM,1,8,Y,2.0,55,SAT,2200,55.0,58,TUE,0500,2.0,,,,,USILM01
EC1,8101,W,PAPCA,1,9,,2.0,67,THU,1400,38.0,69,SAT,0400,2.0,,,,,PAPCA01
EC1,8101,W,JPTYO,1,10,,2.0,92,MON,1500,12.0,93,TUE,0300,2.0,,,,,JPTYO01
EC1,8101,W,CNTAO,1,11,Y,2.0,98,SUN,0100,0.0,0,,0000,0.0,,,,,CNTAO01
FE1,5101,W,KRPUS,1,1,Y,2.0,0,SUN,1500,35.0,2,TUE,0200,2.0,,,,,KRPUS01
FE1,5101,W,CNSHA,1,2,Y,2.0,3,WED,1400,48.0,5,FRI,1400,2.0,,,,,CNSHA01
FE1,5101,W,CNNGB,1,3,Y,2.0,6,SAT,0100,33.0,7,SUN,1000,2.0,,,,,CNNGB01
